organism,scenario,month,slope_generation_per_year,slope_dd_per_year
Aedes albopictus,rcp60,8,0.0027633866540752103,0.525043464274294
Aedes albopictus,rcp60,9,0.0023590881380342746,0.4482267462265109
Aedes albopictus,rcp60,10,0.003952822907213813,0.751036352370626
Aedes albopictus,rcp60,11,0.0010939605770845186,0.20785250964606028
Aedes albopictus,rcp60,12,0.002436316366732473,0.4629001096791671
Aedes albopictus,rcp85,1,0.005296680637062184,1.006369321041813
Aedes albopictus,rcp85,2,0.002159927911973362,0.4103863032749372
Aedes albopictus,rcp85,3,0.003448548469568908,0.6552242092180904
Aedes albopictus,rcp85,4,0.0030617685969949794,0.5817360334290476
Aedes albopictus,rcp85,5,0.0035915075192796664,0.6823864286631381
Aedes albopictus,rcp85,6,0.0033704296758744643,0.6403816384161527
Aedes albopictus,rcp85,7,0.0035155345925790707,0.6679515725900256
Aedes albopictus,rcp85,8,0.0027328120052532265,0.5192342809981135
Aedes albopictus,rcp85,9,0.004060621452767284,0.7715180760257836
Aedes albopictus,rcp85,10,0.00387369666293249,0.7360023659571712
Aedes albopictus,rcp85,11,0.003266839606427219,0.6206995252211753
Aedes albopictus,rcp85,12,0.003773780789313073,0.7170183499694844
Cockroach,historical,1,0.004422768747174683,2.8747996856635334
Cockroach,historical,2,0.006644739020113635,4.319080363073865
Cockroach,historical,3,0.006816539607336229,4.430750744768518
Cockroach,historical,4,0.011015657608472002,7.160177445506799
Cockroach,historical,5,0.01152139981341427,7.4889098787192445
Cockroach,historical,6,-0.0013141181652344322,-0.8541768074023434
Cockroach,historical,7,0.0018051451374428134,1.173344339337911
Cockroach,historical,8,-0.0019589013341648255,-1.2732858672070155
Cockroach,historical,9,0.00485298831407165,3.1544424041465287
Cockroach,historical,10,0.006528933280428606,4.243806632278618
Cockroach,historical,11,0.0004482060242722554,0.29133391577696854
Cockroach,historical,12,-0.004219690180479527,-2.742798617311683
Cockroach,rcp26,1,0.0006644451554044772,0.43188935101291037
Cockroach,rcp26,2,0.0009058772259097096,0.5888201968413117
Cockroach,rcp26,3,0.0013251622948682368,0.8613554916643543
Cockroach,rcp26,4,0.0017582687932305252,1.1428747155998389
Cockroach,rcp26,5,0.001722003139455647,1.1193020406461738
Cockroach,rcp26,6,0.001860153214250704,1.2090995892629572
Cockroach,rcp26,7,0.0016262492398188947,1.0570620058822853
Cockroach,rcp26,8,0.0015233822344572438,0.9901984523972076
Cockroach,rcp26,9,0.0019236029636314433,1.250341926360438
Cockroach,rcp26,10,0.0017746136493417685,1.1534988720721477
Cockroach,rcp26,11,0.001661385913539237,1.0799008438005047
Cockroach,rcp26,12,0.0014143486002515435,0.9193265901635032
Cockroach,rcp45,1,0.000572653033083583,0.3722244715043288
Cockroach,rcp45,2,0.00047356168252800433,0.3078150936432023
Cockroach,rcp45,3,0.0010189517096604109,0.6623186112792667
Cockroach,rcp45,4,0.0015781868161726107,1.0258214305121978
Cockroach,rcp45,5,0.0016673936314172248,1.0838058604211964
Cockroach,rcp45,6,0.0012369495156531198,0.8040171851745282
Cockroach,rcp45,7,0.001378956442411787,0.8963216875676674
Cockroach,rcp45,8,0.001527651274025943,0.9929733281168629
Cockroach,rcp45,9,0.0013404331894171335,0.8712815731211361
