model,scenario,season_year,season,count,interval_name,variable
MPI-ESM-LR,historical,2006,DJF,4,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2000,DJF,10,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2001,DJF,2,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2002,DJF,2,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2004,DJF,12,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2005,DJF,1,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2006,DJF,8,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2001,DJF,19,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2002,DJF,7,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2003,DJF,2,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2004,DJF,7,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2005,DJF,13,Tmax 26–29°C,tmax
MRI-ESM1,historical,2000,DJF,5,Tmax 26–29°C,tmax
MRI-ESM1,historical,2001,DJF,3,Tmax 26–29°C,tmax
MRI-ESM1,historical,2002,DJF,7,Tmax 26–29°C,tmax
MRI-ESM1,historical,2003,DJF,6,Tmax 26–29°C,tmax
MRI-ESM1,historical,2004,DJF,5,Tmax 26–29°C,tmax
MRI-ESM1,historical,2005,DJF,4,Tmax 26–29°C,tmax
MRI-ESM1,historical,2006,DJF,4,Tmax 26–29°C,tmax
NorESM1-M,historical,2000,DJF,2,Tmax 26–29°C,tmax
NorESM1-M,historical,2001,DJF,9,Tmax 26–29°C,tmax
NorESM1-M,historical,2002,DJF,1,Tmax 26–29°C,tmax
NorESM1-M,historical,2003,DJF,1,Tmax 26–29°C,tmax
NorESM1-M,historical,2004,DJF,14,Tmax 26–29°C,tmax
NorESM1-M,historical,2005,DJF,6,Tmax 26–29°C,tmax
NorESM1-M,historical,2006,DJF,1,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2000,DJF,10,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2001,DJF,2,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2002,DJF,11,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2003,DJF,1,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2004,DJF,9,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2005,DJF,12,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2001,DJF,13,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2002,DJF,5,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2003,DJF,8,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2005,DJF,2,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2006,DJF,7,Tmax 26–29°C,tmax
inmcm4,historical,2001,DJF,12,Tmax 26–29°C,tmax
inmcm4,historical,2002,DJF,5,Tmax 26–29°C,tmax
inmcm4,historical,2003,DJF,5,Tmax 26–29°C,tmax
inmcm4,historical,2005,DJF,18,Tmax 26–29°C,tmax
ACCESS1-0,historical,2000,JJA,5,Tmax 26–29°C,tmax
ACCESS1-0,historical,2001,JJA,12,Tmax 26–29°C,tmax
ACCESS1-0,historical,2002,JJA,2,Tmax 26–29°C,tmax
ACCESS1-0,historical,2003,JJA,4,Tmax 26–29°C,tmax
ACCESS1-0,historical,2004,JJA,2,Tmax 26–29°C,tmax
ACCESS1-0,historical,2005,JJA,9,Tmax 26–29°C,tmax
ACCESS1-3,historical,2000,JJA,14,Tmax 26–29°C,tmax
ACCESS1-3,historical,2001,JJA,6,Tmax 26–29°C,tmax
ACCESS1-3,historical,2002,JJA,2,Tmax 26–29°C,tmax
ACCESS1-3,historical,2003,JJA,2,Tmax 26–29°C,tmax
ACCESS1-3,historical,2004,JJA,5,Tmax 26–29°C,tmax
BNU-ESM,historical,2000,JJA,1,Tmax 26–29°C,tmax
BNU-ESM,historical,2001,JJA,1,Tmax 26–29°C,tmax
BNU-ESM,historical,2002,JJA,13,Tmax 26–29°C,tmax
BNU-ESM,historical,2003,JJA,4,Tmax 26–29°C,tmax
BNU-ESM,historical,2004,JJA,3,Tmax 26–29°C,tmax
BNU-ESM,historical,2005,JJA,14,Tmax 26–29°C,tmax
CCSM4,historical,2000,JJA,7,Tmax 26–29°C,tmax
CCSM4,historical,2001,JJA,1,Tmax 26–29°C,tmax
CCSM4,historical,2003,JJA,1,Tmax 26–29°C,tmax
CCSM4,historical,2005,JJA,1,Tmax 26–29°C,tmax
CESM1-BGC,historical,2001,JJA,3,Tmax 26–29°C,tmax
CESM1-BGC,historical,2003,JJA,1,Tmax 26–29°C,tmax
CESM1-BGC,historical,2004,JJA,2,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2000,JJA,5,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2001,JJA,7,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2002,JJA,2,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2003,JJA,3,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2004,JJA,1,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2005,JJA,8,Tmax 26–29°C,tmax
CMCC-CESM,historical,2000,JJA,3,Tmax 26–29°C,tmax
CMCC-CESM,historical,2004,JJA,3,Tmax 26–29°C,tmax
CMCC-CESM,historical,2005,JJA,10,Tmax 26–29°C,tmax
CMCC-CM,historical,2000,JJA,5,Tmax 26–29°C,tmax
CMCC-CM,historical,2001,JJA,9,Tmax 26–29°C,tmax
CMCC-CM,historical,2002,JJA,1,Tmax 26–29°C,tmax
CMCC-CM,historical,2003,JJA,5,Tmax 26–29°C,tmax
CMCC-CM,historical,2004,JJA,5,Tmax 26–29°C,tmax
