model,scenario,season_year,season,count,interval_name,variable
IPSL-CM5B-LR,historical,2005,DJF,1,pr 50mm,Precipitation
MIROC-ESM,historical,2004,DJF,1,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2000,DJF,1,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2003,DJF,2,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2004,DJF,1,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2005,DJF,1,pr 50mm,Precipitation
MIROC5,historical,2004,DJF,2,pr 50mm,Precipitation
MPI-ESM-MR,historical,2000,DJF,2,pr 50mm,Precipitation
MPI-ESM-MR,historical,2001,DJF,1,pr 50mm,Precipitation
MPI-ESM-MR,historical,2004,DJF,1,pr 50mm,Precipitation
MRI-CGCM3,historical,2003,DJF,1,pr 50mm,Precipitation
MRI-CGCM3,historical,2005,DJF,2,pr 50mm,Precipitation
MRI-ESM1,historical,2000,DJF,1,pr 50mm,Precipitation
NorESM1-M,historical,2001,DJF,1,pr 50mm,Precipitation
NorESM1-M,historical,2002,DJF,1,pr 50mm,Precipitation
NorESM1-M,historical,2004,DJF,1,pr 50mm,Precipitation
bcc-csm1-1,historical,2000,DJF,2,pr 50mm,Precipitation
bcc-csm1-1,historical,2001,DJF,1,pr 50mm,Precipitation
bcc-csm1-1,historical,2002,DJF,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2000,DJF,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2001,DJF,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2002,DJF,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2003,DJF,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2005,DJF,1,pr 50mm,Precipitation
inmcm4,historical,2001,DJF,2,pr 50mm,Precipitation
inmcm4,historical,2002,DJF,3,pr 50mm,Precipitation
inmcm4,historical,2004,DJF,1,pr 50mm,Precipitation
ACCESS1-0,historical,2000,JJA,1,pr 50mm,Precipitation
ACCESS1-0,historical,2001,JJA,2,pr 50mm,Precipitation
ACCESS1-0,historical,2002,JJA,3,pr 50mm,Precipitation
ACCESS1-0,historical,2003,JJA,1,pr 50mm,Precipitation
ACCESS1-0,historical,2004,JJA,1,pr 50mm,Precipitation
ACCESS1-0,historical,2005,JJA,4,pr 50mm,Precipitation
ACCESS1-3,historical,2000,JJA,3,pr 50mm,Precipitation
ACCESS1-3,historical,2001,JJA,2,pr 50mm,Precipitation
ACCESS1-3,historical,2002,JJA,5,pr 50mm,Precipitation
ACCESS1-3,historical,2003,JJA,1,pr 50mm,Precipitation
ACCESS1-3,historical,2004,JJA,5,pr 50mm,Precipitation
ACCESS1-3,historical,2005,JJA,4,pr 50mm,Precipitation
BNU-ESM,historical,2000,JJA,1,pr 50mm,Precipitation
BNU-ESM,historical,2001,JJA,2,pr 50mm,Precipitation
BNU-ESM,historical,2002,JJA,8,pr 50mm,Precipitation
BNU-ESM,historical,2003,JJA,4,pr 50mm,Precipitation
BNU-ESM,historical,2004,JJA,4,pr 50mm,Precipitation
BNU-ESM,historical,2005,JJA,6,pr 50mm,Precipitation
CCSM4,historical,2000,JJA,2,pr 50mm,Precipitation
CCSM4,historical,2002,JJA,1,pr 50mm,Precipitation
CCSM4,historical,2003,JJA,3,pr 50mm,Precipitation
CCSM4,historical,2004,JJA,1,pr 50mm,Precipitation
CCSM4,historical,2005,JJA,1,pr 50mm,Precipitation
CESM1-BGC,historical,2000,JJA,4,pr 50mm,Precipitation
CESM1-BGC,historical,2001,JJA,5,pr 50mm,Precipitation
CESM1-BGC,historical,2002,JJA,7,pr 50mm,Precipitation
CESM1-BGC,historical,2003,JJA,4,pr 50mm,Precipitation
CESM1-BGC,historical,2004,JJA,1,pr 50mm,Precipitation
CESM1-BGC,historical,2005,JJA,4,pr 50mm,Precipitation
CESM1-CAM5,historical,2000,JJA,4,pr 50mm,Precipitation
CESM1-CAM5,historical,2001,JJA,4,pr 50mm,Precipitation
CESM1-CAM5,historical,2002,JJA,1,pr 50mm,Precipitation
CESM1-CAM5,historical,2003,JJA,2,pr 50mm,Precipitation
CESM1-CAM5,historical,2004,JJA,3,pr 50mm,Precipitation
CESM1-CAM5,historical,2005,JJA,2,pr 50mm,Precipitation
CMCC-CESM,historical,2000,JJA,5,pr 50mm,Precipitation
CMCC-CESM,historical,2001,JJA,4,pr 50mm,Precipitation
CMCC-CESM,historical,2002,JJA,4,pr 50mm,Precipitation
CMCC-CESM,historical,2003,JJA,4,pr 50mm,Precipitation
CMCC-CESM,historical,2004,JJA,10,pr 50mm,Precipitation
CMCC-CM,historical,2000,JJA,4,pr 50mm,Precipitation
CMCC-CM,historical,2001,JJA,4,pr 50mm,Precipitation
CMCC-CM,historical,2004,JJA,1,pr 50mm,Precipitation
CMCC-CM,historical,2005,JJA,4,pr 50mm,Precipitation
CMCC-CMS,historical,2000,JJA,7,pr 50mm,Precipitation
CMCC-CMS,historical,2001,JJA,6,pr 50mm,Precipitation
CMCC-CMS,historical,2002,JJA,10,pr 50mm,Precipitation
CMCC-CMS,historical,2003,JJA,3,pr 50mm,Precipitation
CMCC-CMS,historical,2004,JJA,1,pr 50mm,Precipitation
CMCC-CMS,historical,2005,JJA,4,pr 50mm,Precipitation
CNRM-CM5,historical,2000,JJA,3,pr 50mm,Precipitation
CNRM-CM5,historical,2001,JJA,4,pr 50mm,Precipitation
CNRM-CM5,historical,2002,JJA,3,pr 50mm,Precipitation
CNRM-CM5,historical,2003,JJA,2,pr 50mm,Precipitation
CNRM-CM5,historical,2004,JJA,4,pr 50mm,Precipitation
CNRM-CM5,historical,2005,JJA,2,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2000,JJA,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2001,JJA,4,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2002,JJA,3,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2004,JJA,3,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2005,JJA,2,pr 50mm,Precipitation
CanESM2,historical,2000,JJA,7,pr 50mm,Precipitation
CanESM2,historical,2001,JJA,5,pr 50mm,Precipitation
CanESM2,historical,2002,JJA,5,pr 50mm,Precipitation
CanESM2,historical,2003,JJA,4,pr 50mm,Precipitation
CanESM2,historical,2004,JJA,3,pr 50mm,Precipitation
CanESM2,historical,2005,JJA,3,pr 50mm,Precipitation
EC-EARTH,historical,2000,JJA,2,pr 50mm,Precipitation
EC-EARTH,historical,2001,JJA,2,pr 50mm,Precipitation
EC-EARTH,historical,2003,JJA,9,pr 50mm,Precipitation
EC-EARTH,historical,2004,JJA,1,pr 50mm,Precipitation
EC-EARTH,historical,2005,JJA,2,pr 50mm,Precipitation
FGOALS-g2,historical,2000,JJA,3,pr 50mm,Precipitation
FGOALS-g2,historical,2001,JJA,3,pr 50mm,Precipitation
FGOALS-g2,historical,2002,JJA,2,pr 50mm,Precipitation
FGOALS-g2,historical,2003,JJA,4,pr 50mm,Precipitation
FGOALS-g2,historical,2004,JJA,1,pr 50mm,Precipitation
FGOALS-g2,historical,2005,JJA,1,pr 50mm,Precipitation
GFDL-CM3,historical,2001,JJA,1,pr 50mm,Precipitation
GFDL-CM3,historical,2002,JJA,1,pr 50mm,Precipitation
GFDL-CM3,historical,2003,JJA,4,pr 50mm,Precipitation
GFDL-CM3,historical,2004,JJA,2,pr 50mm,Precipitation
GFDL-CM3,historical,2005,JJA,1,pr 50mm,Precipitation
GFDL-ESM2G,historical,2001,JJA,5,pr 50mm,Precipitation
GFDL-ESM2G,historical,2002,JJA,5,pr 50mm,Precipitation
GFDL-ESM2G,historical,2004,JJA,3,pr 50mm,Precipitation
GFDL-ESM2G,historical,2005,JJA,2,pr 50mm,Precipitation
GFDL-ESM2M,historical,2000,JJA,6,pr 50mm,Precipitation
GFDL-ESM2M,historical,2001,JJA,5,pr 50mm,Precipitation
GFDL-ESM2M,historical,2002,JJA,2,pr 50mm,Precipitation
GFDL-ESM2M,historical,2003,JJA,8,pr 50mm,Precipitation
GFDL-ESM2M,historical,2004,JJA,5,pr 50mm,Precipitation
GFDL-ESM2M,historical,2005,JJA,3,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2000,JJA,1,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2001,JJA,2,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2002,JJA,2,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2004,JJA,1,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2005,JJA,1,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2000,JJA,3,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2001,JJA,6,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2002,JJA,10,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2003,JJA,4,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2004,JJA,2,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2005,JJA,10,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2000,JJA,5,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2001,JJA,8,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2002,JJA,4,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2003,JJA,2,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2004,JJA,2,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2005,JJA,7,pr 50mm,Precipitation
MIROC-ESM,historical,2000,JJA,1,pr 50mm,Precipitation
MIROC-ESM,historical,2001,JJA,6,pr 50mm,Precipitation
MIROC-ESM,historical,2002,JJA,2,pr 50mm,Precipitation
MIROC-ESM,historical,2003,JJA,1,pr 50mm,Precipitation
MIROC-ESM,historical,2005,JJA,3,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2000,JJA,14,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2001,JJA,2,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2003,JJA,5,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2004,JJA,5,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2005,JJA,9,pr 50mm,Precipitation
MIROC5,historical,2000,JJA,4,pr 50mm,Precipitation
MIROC5,historical,2001,JJA,6,pr 50mm,Precipitation
MIROC5,historical,2002,JJA,2,pr 50mm,Precipitation
MIROC5,historical,2003,JJA,1,pr 50mm,Precipitation
MIROC5,historical,2004,JJA,6,pr 50mm,Precipitation
MIROC5,historical,2005,JJA,4,pr 50mm,Precipitation
MPI-ESM-LR,historical,2000,JJA,2,pr 50mm,Precipitation
MPI-ESM-LR,historical,2001,JJA,1,pr 50mm,Precipitation
MPI-ESM-LR,historical,2002,JJA,3,pr 50mm,Precipitation
MPI-ESM-LR,historical,2003,JJA,4,pr 50mm,Precipitation
MPI-ESM-LR,historical,2004,JJA,3,pr 50mm,Precipitation
MPI-ESM-LR,historical,2005,JJA,4,pr 50mm,Precipitation
MPI-ESM-MR,historical,2000,JJA,2,pr 50mm,Precipitation
MPI-ESM-MR,historical,2001,JJA,2,pr 50mm,Precipitation
MPI-ESM-MR,historical,2002,JJA,4,pr 50mm,Precipitation
MPI-ESM-MR,historical,2003,JJA,5,pr 50mm,Precipitation
MPI-ESM-MR,historical,2004,JJA,4,pr 50mm,Precipitation
MPI-ESM-MR,historical,2005,JJA,4,pr 50mm,Precipitation
MRI-CGCM3,historical,2000,JJA,1,pr 50mm,Precipitation
MRI-CGCM3,historical,2001,JJA,3,pr 50mm,Precipitation
MRI-CGCM3,historical,2002,JJA,4,pr 50mm,Precipitation
MRI-CGCM3,historical,2003,JJA,2,pr 50mm,Precipitation
MRI-CGCM3,historical,2004,JJA,4,pr 50mm,Precipitation
MRI-CGCM3,historical,2005,JJA,2,pr 50mm,Precipitation
MRI-ESM1,historical,2000,JJA,3,pr 50mm,Precipitation
MRI-ESM1,historical,2001,JJA,5,pr 50mm,Precipitation
MRI-ESM1,historical,2002,JJA,2,pr 50mm,Precipitation
MRI-ESM1,historical,2003,JJA,6,pr 50mm,Precipitation
MRI-ESM1,historical,2004,JJA,2,pr 50mm,Precipitation
MRI-ESM1,historical,2005,JJA,3,pr 50mm,Precipitation
NorESM1-M,historical,2000,JJA,9,pr 50mm,Precipitation
NorESM1-M,historical,2001,JJA,3,pr 50mm,Precipitation
NorESM1-M,historical,2002,JJA,1,pr 50mm,Precipitation
NorESM1-M,historical,2003,JJA,3,pr 50mm,Precipitation
NorESM1-M,historical,2004,JJA,3,pr 50mm,Precipitation
NorESM1-M,historical,2005,JJA,7,pr 50mm,Precipitation
bcc-csm1-1,historical,2000,JJA,3,pr 50mm,Precipitation
bcc-csm1-1,historical,2001,JJA,3,pr 50mm,Precipitation
bcc-csm1-1,historical,2002,JJA,4,pr 50mm,Precipitation
bcc-csm1-1,historical,2003,JJA,1,pr 50mm,Precipitation
bcc-csm1-1,historical,2004,JJA,3,pr 50mm,Precipitation
bcc-csm1-1,historical,2005,JJA,3,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2000,JJA,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2001,JJA,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2002,JJA,2,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2003,JJA,3,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2004,JJA,2,pr 50mm,Precipitation
inmcm4,historical,2000,JJA,7,pr 50mm,Precipitation
inmcm4,historical,2001,JJA,4,pr 50mm,Precipitation
inmcm4,historical,2002,JJA,4,pr 50mm,Precipitation
inmcm4,historical,2003,JJA,4,pr 50mm,Precipitation
inmcm4,historical,2004,JJA,1,pr 50mm,Precipitation
inmcm4,historical,2005,JJA,2,pr 50mm,Precipitation
ACCESS1-0,historical,2000,MAM,2,pr 50mm,Precipitation
ACCESS1-0,historical,2001,MAM,2,pr 50mm,Precipitation
ACCESS1-0,historical,2002,MAM,1,pr 50mm,Precipitation
ACCESS1-0,historical,2003,MAM,1,pr 50mm,Precipitation
ACCESS1-0,historical,2004,MAM,7,pr 50mm,Precipitation
ACCESS1-0,historical,2005,MAM,3,pr 50mm,Precipitation
ACCESS1-3,historical,2000,MAM,2,pr 50mm,Precipitation
ACCESS1-3,historical,2001,MAM,3,pr 50mm,Precipitation
ACCESS1-3,historical,2002,MAM,2,pr 50mm,Precipitation
ACCESS1-3,historical,2004,MAM,2,pr 50mm,Precipitation
BNU-ESM,historical,2000,MAM,1,pr 50mm,Precipitation
BNU-ESM,historical,2001,MAM,4,pr 50mm,Precipitation
BNU-ESM,historical,2004,MAM,3,pr 50mm,Precipitation
BNU-ESM,historical,2005,MAM,2,pr 50mm,Precipitation
CCSM4,historical,2001,MAM,5,pr 50mm,Precipitation
CCSM4,historical,2002,MAM,1,pr 50mm,Precipitation
CCSM4,historical,2004,MAM,1,pr 50mm,Precipitation
CESM1-BGC,historical,2005,MAM,1,pr 50mm,Precipitation
CESM1-CAM5,historical,2003,MAM,1,pr 50mm,Precipitation
CESM1-CAM5,historical,2004,MAM,1,pr 50mm,Precipitation
CESM1-CAM5,historical,2005,MAM,2,pr 50mm,Precipitation
CMCC-CESM,historical,2000,MAM,3,pr 50mm,Precipitation
CMCC-CESM,historical,2002,MAM,2,pr 50mm,Precipitation
CMCC-CESM,historical,2003,MAM,3,pr 50mm,Precipitation
CMCC-CESM,historical,2005,MAM,1,pr 50mm,Precipitation
CMCC-CM,historical,2000,MAM,1,pr 50mm,Precipitation
CMCC-CM,historical,2001,MAM,2,pr 50mm,Precipitation
CMCC-CM,historical,2002,MAM,2,pr 50mm,Precipitation
CMCC-CM,historical,2003,MAM,2,pr 50mm,Precipitation
CMCC-CM,historical,2005,MAM,1,pr 50mm,Precipitation
CMCC-CMS,historical,2003,MAM,2,pr 50mm,Precipitation
CMCC-CMS,historical,2005,MAM,1,pr 50mm,Precipitation
CNRM-CM5,historical,2000,MAM,1,pr 50mm,Precipitation
CNRM-CM5,historical,2004,MAM,1,pr 50mm,Precipitation
CNRM-CM5,historical,2005,MAM,2,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2000,MAM,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2001,MAM,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2002,MAM,2,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2004,MAM,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2005,MAM,4,pr 50mm,Precipitation
CanESM2,historical,2001,MAM,1,pr 50mm,Precipitation
CanESM2,historical,2002,MAM,3,pr 50mm,Precipitation
CanESM2,historical,2003,MAM,2,pr 50mm,Precipitation
CanESM2,historical,2004,MAM,2,pr 50mm,Precipitation
CanESM2,historical,2005,MAM,2,pr 50mm,Precipitation
EC-EARTH,historical,2000,MAM,2,pr 50mm,Precipitation
EC-EARTH,historical,2001,MAM,3,pr 50mm,Precipitation
EC-EARTH,historical,2002,MAM,2,pr 50mm,Precipitation
EC-EARTH,historical,2003,MAM,2,pr 50mm,Precipitation
EC-EARTH,historical,2004,MAM,1,pr 50mm,Precipitation
FGOALS-g2,historical,2000,MAM,1,pr 50mm,Precipitation
FGOALS-g2,historical,2001,MAM,1,pr 50mm,Precipitation
FGOALS-g2,historical,2003,MAM,2,pr 50mm,Precipitation
FGOALS-g2,historical,2004,MAM,5,pr 50mm,Precipitation
GFDL-CM3,historical,2000,MAM,1,pr 50mm,Precipitation
GFDL-ESM2G,historical,2002,MAM,2,pr 50mm,Precipitation
GFDL-ESM2G,historical,2004,MAM,1,pr 50mm,Precipitation
GFDL-ESM2G,historical,2005,MAM,1,pr 50mm,Precipitation
GFDL-ESM2M,historical,2000,MAM,1,pr 50mm,Precipitation
GFDL-ESM2M,historical,2002,MAM,3,pr 50mm,Precipitation
GFDL-ESM2M,historical,2003,MAM,2,pr 50mm,Precipitation
GFDL-ESM2M,historical,2005,MAM,1,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2000,MAM,2,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2001,MAM,1,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2000,MAM,2,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2001,MAM,1,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2002,MAM,1,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2005,MAM,2,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2000,MAM,3,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2002,MAM,2,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2003,MAM,1,pr 50mm,Precipitation
MIROC-ESM,historical,2000,MAM,3,pr 50mm,Precipitation
MIROC-ESM,historical,2001,MAM,1,pr 50mm,Precipitation
MIROC-ESM,historical,2002,MAM,7,pr 50mm,Precipitation
MIROC-ESM,historical,2004,MAM,2,pr 50mm,Precipitation
MIROC-ESM,historical,2005,MAM,1,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2000,MAM,2,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2001,MAM,4,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2002,MAM,4,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2003,MAM,1,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2004,MAM,2,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2005,MAM,1,pr 50mm,Precipitation
MIROC5,historical,2001,MAM,2,pr 50mm,Precipitation
MIROC5,historical,2003,MAM,1,pr 50mm,Precipitation
MIROC5,historical,2005,MAM,4,pr 50mm,Precipitation
MPI-ESM-LR,historical,2000,MAM,1,pr 50mm,Precipitation
MPI-ESM-LR,historical,2004,MAM,3,pr 50mm,Precipitation
MPI-ESM-MR,historical,2001,MAM,3,pr 50mm,Precipitation
MPI-ESM-MR,historical,2002,MAM,1,pr 50mm,Precipitation
MPI-ESM-MR,historical,2003,MAM,2,pr 50mm,Precipitation
MPI-ESM-MR,historical,2004,MAM,3,pr 50mm,Precipitation
MRI-CGCM3,historical,2000,MAM,2,pr 50mm,Precipitation
MRI-CGCM3,historical,2001,MAM,3,pr 50mm,Precipitation
MRI-CGCM3,historical,2003,MAM,2,pr 50mm,Precipitation
MRI-CGCM3,historical,2004,MAM,2,pr 50mm,Precipitation
MRI-CGCM3,historical,2005,MAM,1,pr 50mm,Precipitation
MRI-ESM1,historical,2000,MAM,1,pr 50mm,Precipitation
MRI-ESM1,historical,2001,MAM,1,pr 50mm,Precipitation
MRI-ESM1,historical,2002,MAM,2,pr 50mm,Precipitation
MRI-ESM1,historical,2004,MAM,1,pr 50mm,Precipitation
NorESM1-M,historical,2001,MAM,2,pr 50mm,Precipitation
NorESM1-M,historical,2004,MAM,3,pr 50mm,Precipitation
NorESM1-M,historical,2005,MAM,3,pr 50mm,Precipitation
bcc-csm1-1,historical,2000,MAM,5,pr 50mm,Precipitation
bcc-csm1-1,historical,2003,MAM,3,pr 50mm,Precipitation
bcc-csm1-1,historical,2004,MAM,3,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2000,MAM,2,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2003,MAM,2,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2004,MAM,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2005,MAM,1,pr 50mm,Precipitation
inmcm4,historical,2000,MAM,3,pr 50mm,Precipitation
inmcm4,historical,2001,MAM,4,pr 50mm,Precipitation
inmcm4,historical,2005,MAM,3,pr 50mm,Precipitation
ACCESS1-0,historical,2001,SON,7,pr 50mm,Precipitation
ACCESS1-0,historical,2003,SON,2,pr 50mm,Precipitation
ACCESS1-0,historical,2004,SON,8,pr 50mm,Precipitation
ACCESS1-3,historical,2000,SON,3,pr 50mm,Precipitation
ACCESS1-3,historical,2002,SON,6,pr 50mm,Precipitation
ACCESS1-3,historical,2003,SON,6,pr 50mm,Precipitation
BNU-ESM,historical,2000,SON,2,pr 50mm,Precipitation
BNU-ESM,historical,2001,SON,6,pr 50mm,Precipitation
BNU-ESM,historical,2002,SON,6,pr 50mm,Precipitation
BNU-ESM,historical,2003,SON,6,pr 50mm,Precipitation
BNU-ESM,historical,2004,SON,4,pr 50mm,Precipitation
BNU-ESM,historical,2005,SON,6,pr 50mm,Precipitation
CCSM4,historical,2000,SON,1,pr 50mm,Precipitation
CCSM4,historical,2001,SON,1,pr 50mm,Precipitation
CCSM4,historical,2002,SON,4,pr 50mm,Precipitation
CCSM4,historical,2003,SON,7,pr 50mm,Precipitation
CCSM4,historical,2005,SON,4,pr 50mm,Precipitation
CESM1-BGC,historical,2000,SON,8,pr 50mm,Precipitation
CESM1-BGC,historical,2001,SON,4,pr 50mm,Precipitation
CESM1-BGC,historical,2002,SON,4,pr 50mm,Precipitation
CESM1-BGC,historical,2003,SON,4,pr 50mm,Precipitation
CESM1-BGC,historical,2004,SON,1,pr 50mm,Precipitation
CESM1-BGC,historical,2005,SON,3,pr 50mm,Precipitation
CESM1-CAM5,historical,2000,SON,9,pr 50mm,Precipitation
CESM1-CAM5,historical,2001,SON,3,pr 50mm,Precipitation
CESM1-CAM5,historical,2002,SON,3,pr 50mm,Precipitation
CESM1-CAM5,historical,2003,SON,8,pr 50mm,Precipitation
CESM1-CAM5,historical,2004,SON,3,pr 50mm,Precipitation
CESM1-CAM5,historical,2005,SON,5,pr 50mm,Precipitation
CMCC-CESM,historical,2002,SON,4,pr 50mm,Precipitation
CMCC-CESM,historical,2003,SON,4,pr 50mm,Precipitation
CMCC-CESM,historical,2004,SON,1,pr 50mm,Precipitation
CMCC-CESM,historical,2005,SON,1,pr 50mm,Precipitation
CMCC-CM,historical,2000,SON,1,pr 50mm,Precipitation
CMCC-CM,historical,2001,SON,1,pr 50mm,Precipitation
CMCC-CM,historical,2002,SON,3,pr 50mm,Precipitation
CMCC-CM,historical,2003,SON,6,pr 50mm,Precipitation
CMCC-CM,historical,2004,SON,3,pr 50mm,Precipitation
CMCC-CM,historical,2005,SON,8,pr 50mm,Precipitation
CMCC-CMS,historical,2001,SON,1,pr 50mm,Precipitation
CMCC-CMS,historical,2002,SON,9,pr 50mm,Precipitation
CMCC-CMS,historical,2003,SON,4,pr 50mm,Precipitation
CMCC-CMS,historical,2004,SON,1,pr 50mm,Precipitation
CMCC-CMS,historical,2005,SON,1,pr 50mm,Precipitation
CNRM-CM5,historical,2000,SON,3,pr 50mm,Precipitation
CNRM-CM5,historical,2001,SON,5,pr 50mm,Precipitation
CNRM-CM5,historical,2002,SON,6,pr 50mm,Precipitation
CNRM-CM5,historical,2003,SON,4,pr 50mm,Precipitation
CNRM-CM5,historical,2004,SON,2,pr 50mm,Precipitation
CNRM-CM5,historical,2005,SON,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2000,SON,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2001,SON,5,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2002,SON,2,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2003,SON,3,pr 50mm,Precipitation
