model,scenario,year,count,interval_name,variable
MRI-CGCM3,historical,2001,9,pr 50mm,Precipitation
MRI-CGCM3,historical,2002,7,pr 50mm,Precipitation
MRI-CGCM3,historical,2003,12,pr 50mm,Precipitation
MRI-CGCM3,historical,2004,9,pr 50mm,Precipitation
MRI-CGCM3,historical,2005,6,pr 50mm,Precipitation
MRI-ESM1,historical,2000,7,pr 50mm,Precipitation
MRI-ESM1,historical,2001,8,pr 50mm,Precipitation
MRI-ESM1,historical,2002,7,pr 50mm,Precipitation
MRI-ESM1,historical,2003,8,pr 50mm,Precipitation
MRI-ESM1,historical,2004,6,pr 50mm,Precipitation
MRI-ESM1,historical,2005,6,pr 50mm,Precipitation
NorESM1-M,historical,2000,14,pr 50mm,Precipitation
NorESM1-M,historical,2001,10,pr 50mm,Precipitation
NorESM1-M,historical,2002,2,pr 50mm,Precipitation
NorESM1-M,historical,2003,6,pr 50mm,Precipitation
NorESM1-M,historical,2004,8,pr 50mm,Precipitation
NorESM1-M,historical,2005,16,pr 50mm,Precipitation
bcc-csm1-1,historical,2000,10,pr 50mm,Precipitation
bcc-csm1-1,historical,2001,7,pr 50mm,Precipitation
bcc-csm1-1,historical,2002,11,pr 50mm,Precipitation
bcc-csm1-1,historical,2003,7,pr 50mm,Precipitation
bcc-csm1-1,historical,2004,7,pr 50mm,Precipitation
bcc-csm1-1,historical,2005,7,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2000,6,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2001,1,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2002,4,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2003,9,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2004,8,pr 50mm,Precipitation
bcc-csm1-1-m,historical,2005,2,pr 50mm,Precipitation
inmcm4,historical,2000,13,pr 50mm,Precipitation
inmcm4,historical,2001,14,pr 50mm,Precipitation
inmcm4,historical,2002,11,pr 50mm,Precipitation
inmcm4,historical,2003,6,pr 50mm,Precipitation
inmcm4,historical,2004,5,pr 50mm,Precipitation
inmcm4,historical,2005,8,pr 50mm,Precipitation
BNU-ESM,rcp26,2006,11,pr 50mm,Precipitation
BNU-ESM,rcp26,2007,6,pr 50mm,Precipitation
BNU-ESM,rcp26,2008,3,pr 50mm,Precipitation
BNU-ESM,rcp26,2009,4,pr 50mm,Precipitation
BNU-ESM,rcp26,2010,9,pr 50mm,Precipitation
BNU-ESM,rcp26,2011,6,pr 50mm,Precipitation
BNU-ESM,rcp26,2012,3,pr 50mm,Precipitation
BNU-ESM,rcp26,2013,22,pr 50mm,Precipitation
BNU-ESM,rcp26,2014,3,pr 50mm,Precipitation
BNU-ESM,rcp26,2015,4,pr 50mm,Precipitation
BNU-ESM,rcp26,2016,7,pr 50mm,Precipitation
BNU-ESM,rcp26,2017,1,pr 50mm,Precipitation
BNU-ESM,rcp26,2018,18,pr 50mm,Precipitation
BNU-ESM,rcp26,2019,12,pr 50mm,Precipitation
BNU-ESM,rcp26,2020,6,pr 50mm,Precipitation
BNU-ESM,rcp26,2021,9,pr 50mm,Precipitation
BNU-ESM,rcp26,2022,14,pr 50mm,Precipitation
BNU-ESM,rcp26,2023,15,pr 50mm,Precipitation
