model,scenario,year,count,interval_name,variable
CMCC-CM,historical,2000,83,Tmax 26–29°C,tmax
CMCC-CM,historical,2001,49,Tmax 26–29°C,tmax
CMCC-CM,historical,2002,44,Tmax 26–29°C,tmax
CMCC-CM,historical,2003,43,Tmax 26–29°C,tmax
CMCC-CM,historical,2004,52,Tmax 26–29°C,tmax
CMCC-CM,historical,2005,41,Tmax 26–29°C,tmax
CMCC-CMS,historical,2000,56,Tmax 26–29°C,tmax
CMCC-CMS,historical,2001,43,Tmax 26–29°C,tmax
CMCC-CMS,historical,2002,51,Tmax 26–29°C,tmax
CMCC-CMS,historical,2003,61,Tmax 26–29°C,tmax
CMCC-CMS,historical,2004,43,Tmax 26–29°C,tmax
CMCC-CMS,historical,2005,57,Tmax 26–29°C,tmax
CNRM-CM5,historical,2000,48,Tmax 26–29°C,tmax
CNRM-CM5,historical,2001,48,Tmax 26–29°C,tmax
CNRM-CM5,historical,2002,41,Tmax 26–29°C,tmax
CNRM-CM5,historical,2003,53,Tmax 26–29°C,tmax
CNRM-CM5,historical,2004,50,Tmax 26–29°C,tmax
CNRM-CM5,historical,2005,46,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2000,54,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2001,39,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2002,55,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2003,43,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2004,59,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2005,43,Tmax 26–29°C,tmax
CanESM2,historical,2000,64,Tmax 26–29°C,tmax
CanESM2,historical,2001,35,Tmax 26–29°C,tmax
CanESM2,historical,2002,60,Tmax 26–29°C,tmax
CanESM2,historical,2003,59,Tmax 26–29°C,tmax
CanESM2,historical,2004,43,Tmax 26–29°C,tmax
CanESM2,historical,2005,57,Tmax 26–29°C,tmax
EC-EARTH,historical,2000,38,Tmax 26–29°C,tmax
EC-EARTH,historical,2001,36,Tmax 26–29°C,tmax
EC-EARTH,historical,2002,43,Tmax 26–29°C,tmax
EC-EARTH,historical,2003,52,Tmax 26–29°C,tmax
EC-EARTH,historical,2004,52,Tmax 26–29°C,tmax
EC-EARTH,historical,2005,54,Tmax 26–29°C,tmax
FGOALS-g2,historical,2000,57,Tmax 26–29°C,tmax
FGOALS-g2,historical,2001,61,Tmax 26–29°C,tmax
FGOALS-g2,historical,2002,37,Tmax 26–29°C,tmax
FGOALS-g2,historical,2003,59,Tmax 26–29°C,tmax
FGOALS-g2,historical,2004,61,Tmax 26–29°C,tmax
FGOALS-g2,historical,2005,55,Tmax 26–29°C,tmax
GFDL-CM3,historical,2000,59,Tmax 26–29°C,tmax
GFDL-CM3,historical,2001,44,Tmax 26–29°C,tmax
GFDL-CM3,historical,2002,33,Tmax 26–29°C,tmax
GFDL-CM3,historical,2003,50,Tmax 26–29°C,tmax
GFDL-CM3,historical,2004,43,Tmax 26–29°C,tmax
GFDL-CM3,historical,2005,55,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2000,39,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2001,77,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2002,43,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2003,33,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2004,58,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2005,72,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2000,73,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2001,82,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2002,75,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2003,53,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2004,48,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2005,42,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2000,64,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2001,48,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2002,52,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2003,73,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2004,41,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2005,39,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2000,52,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2001,47,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2002,66,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2003,46,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2004,34,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2005,40,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2000,43,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2001,56,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2002,34,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2003,41,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2004,62,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2005,52,Tmax 26–29°C,tmax
MIROC-ESM,historical,2000,57,Tmax 26–29°C,tmax
MIROC-ESM,historical,2001,41,Tmax 26–29°C,tmax
MIROC-ESM,historical,2002,65,Tmax 26–29°C,tmax
MIROC-ESM,historical,2003,74,Tmax 26–29°C,tmax
MIROC-ESM,historical,2004,51,Tmax 26–29°C,tmax
MIROC-ESM,historical,2005,40,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2000,72,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2001,63,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2002,55,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2003,71,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2004,59,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2005,59,Tmax 26–29°C,tmax
MIROC5,historical,2000,53,Tmax 26–29°C,tmax
MIROC5,historical,2001,41,Tmax 26–29°C,tmax
MIROC5,historical,2002,46,Tmax 26–29°C,tmax
MIROC5,historical,2003,73,Tmax 26–29°C,tmax
MIROC5,historical,2004,50,Tmax 26–29°C,tmax
MIROC5,historical,2005,50,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2000,41,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2001,57,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2002,46,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2003,59,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2004,31,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2005,55,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2000,54,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2001,44,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2002,30,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2003,31,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2004,75,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2005,50,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2000,56,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2001,48,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2002,66,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2003,45,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2004,49,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2005,45,Tmax 26–29°C,tmax
MRI-ESM1,historical,2000,53,Tmax 26–29°C,tmax
MRI-ESM1,historical,2001,32,Tmax 26–29°C,tmax
MRI-ESM1,historical,2002,48,Tmax 26–29°C,tmax
MRI-ESM1,historical,2003,47,Tmax 26–29°C,tmax
MRI-ESM1,historical,2004,45,Tmax 26–29°C,tmax
MRI-ESM1,historical,2005,54,Tmax 26–29°C,tmax
NorESM1-M,historical,2000,46,Tmax 26–29°C,tmax
NorESM1-M,historical,2001,49,Tmax 26–29°C,tmax
NorESM1-M,historical,2002,42,Tmax 26–29°C,tmax
NorESM1-M,historical,2003,40,Tmax 26–29°C,tmax
NorESM1-M,historical,2004,66,Tmax 26–29°C,tmax
NorESM1-M,historical,2005,56,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2000,52,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2001,55,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2002,38,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2003,41,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2004,37,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2005,52,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2000,41,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2001,57,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2002,67,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2003,53,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2004,46,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2005,53,Tmax 26–29°C,tmax
inmcm4,historical,2000,46,Tmax 26–29°C,tmax
inmcm4,historical,2001,64,Tmax 26–29°C,tmax
inmcm4,historical,2002,47,Tmax 26–29°C,tmax
inmcm4,historical,2003,47,Tmax 26–29°C,tmax
inmcm4,historical,2004,54,Tmax 26–29°C,tmax
inmcm4,historical,2005,46,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2006,55,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2007,36,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2008,38,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2009,40,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2010,47,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2011,68,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2012,62,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2013,66,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2014,53,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2015,38,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2016,42,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2017,68,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2018,54,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2019,59,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2020,36,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2021,46,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2022,47,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2023,65,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2024,53,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2025,42,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2026,54,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2027,39,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2028,51,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2029,48,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2030,46,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2031,37,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2032,44,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2033,49,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2034,57,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2035,65,Tmax 26–29°C,tmax
BNU-ESM,rcp26,2036,51,Tmax 26–29°C,tmax
CCSM4,rcp26,2006,46,Tmax 26–29°C,tmax
CCSM4,rcp26,2007,48,Tmax 26–29°C,tmax
CCSM4,rcp26,2008,54,Tmax 26–29°C,tmax
CCSM4,rcp26,2009,51,Tmax 26–29°C,tmax
CCSM4,rcp26,2010,40,Tmax 26–29°C,tmax
CCSM4,rcp26,2011,68,Tmax 26–29°C,tmax
CCSM4,rcp26,2012,51,Tmax 26–29°C,tmax
CCSM4,rcp26,2013,46,Tmax 26–29°C,tmax
CCSM4,rcp26,2014,79,Tmax 26–29°C,tmax
CCSM4,rcp26,2015,60,Tmax 26–29°C,tmax
CCSM4,rcp26,2016,51,Tmax 26–29°C,tmax
CCSM4,rcp26,2017,43,Tmax 26–29°C,tmax
CCSM4,rcp26,2018,61,Tmax 26–29°C,tmax
CCSM4,rcp26,2019,29,Tmax 26–29°C,tmax
CCSM4,rcp26,2020,66,Tmax 26–29°C,tmax
CCSM4,rcp26,2021,59,Tmax 26–29°C,tmax
CCSM4,rcp26,2022,52,Tmax 26–29°C,tmax
CCSM4,rcp26,2023,24,Tmax 26–29°C,tmax
CCSM4,rcp26,2024,53,Tmax 26–29°C,tmax
CCSM4,rcp26,2025,64,Tmax 26–29°C,tmax
CCSM4,rcp26,2026,41,Tmax 26–29°C,tmax
CCSM4,rcp26,2027,46,Tmax 26–29°C,tmax
CCSM4,rcp26,2028,55,Tmax 26–29°C,tmax
CCSM4,rcp26,2029,51,Tmax 26–29°C,tmax
CCSM4,rcp26,2030,56,Tmax 26–29°C,tmax
CCSM4,rcp26,2031,29,Tmax 26–29°C,tmax
CCSM4,rcp26,2032,61,Tmax 26–29°C,tmax
CCSM4,rcp26,2033,51,Tmax 26–29°C,tmax
CCSM4,rcp26,2034,49,Tmax 26–29°C,tmax
CCSM4,rcp26,2035,53,Tmax 26–29°C,tmax
CCSM4,rcp26,2036,39,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2006,60,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2007,50,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2008,54,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2009,68,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2010,61,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2011,57,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2012,48,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2013,74,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2014,55,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2015,48,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2016,50,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2017,38,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2018,66,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2019,50,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2020,71,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2021,50,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2022,44,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2023,41,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2024,63,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2025,39,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2026,35,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2027,49,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2028,81,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2029,55,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2030,41,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2031,60,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2032,54,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2033,71,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2034,65,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2035,67,Tmax 26–29°C,tmax
CESM1-CAM5,rcp26,2036,40,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2006,51,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2007,51,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2008,50,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2009,45,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2010,51,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2011,31,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2012,54,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2013,39,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2014,49,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2015,61,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2016,40,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2017,44,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2018,51,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2019,59,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2020,43,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2021,39,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2022,40,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2023,54,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2024,51,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2025,60,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2026,25,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2027,31,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2028,76,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2029,40,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2030,33,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2031,33,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2032,53,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2033,54,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2034,49,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2035,43,Tmax 26–29°C,tmax
CNRM-CM5,rcp26,2036,37,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2006,37,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2007,36,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2008,54,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2009,60,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2010,50,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2011,30,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2012,73,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2013,47,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2014,42,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2015,69,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2016,49,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2017,37,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2018,78,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2019,67,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2020,35,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2021,51,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2022,44,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2023,65,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2024,64,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2025,59,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2026,85,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2027,76,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2028,45,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2029,61,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2030,77,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2031,64,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2032,61,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2033,36,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2034,47,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2035,60,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,rcp26,2036,40,Tmax 26–29°C,tmax
CanESM2,rcp26,2006,51,Tmax 26–29°C,tmax
CanESM2,rcp26,2007,44,Tmax 26–29°C,tmax
CanESM2,rcp26,2008,48,Tmax 26–29°C,tmax
CanESM2,rcp26,2009,39,Tmax 26–29°C,tmax
CanESM2,rcp26,2010,58,Tmax 26–29°C,tmax
CanESM2,rcp26,2011,51,Tmax 26–29°C,tmax
CanESM2,rcp26,2012,48,Tmax 26–29°C,tmax
CanESM2,rcp26,2013,54,Tmax 26–29°C,tmax
CanESM2,rcp26,2014,45,Tmax 26–29°C,tmax
CanESM2,rcp26,2015,51,Tmax 26–29°C,tmax
CanESM2,rcp26,2016,37,Tmax 26–29°C,tmax
CanESM2,rcp26,2017,35,Tmax 26–29°C,tmax
CanESM2,rcp26,2018,59,Tmax 26–29°C,tmax
CanESM2,rcp26,2019,46,Tmax 26–29°C,tmax
CanESM2,rcp26,2020,54,Tmax 26–29°C,tmax
CanESM2,rcp26,2021,64,Tmax 26–29°C,tmax
CanESM2,rcp26,2022,54,Tmax 26–29°C,tmax
CanESM2,rcp26,2023,53,Tmax 26–29°C,tmax
CanESM2,rcp26,2024,47,Tmax 26–29°C,tmax
CanESM2,rcp26,2025,52,Tmax 26–29°C,tmax
CanESM2,rcp26,2026,51,Tmax 26–29°C,tmax
CanESM2,rcp26,2027,50,Tmax 26–29°C,tmax
CanESM2,rcp26,2028,40,Tmax 26–29°C,tmax
CanESM2,rcp26,2029,49,Tmax 26–29°C,tmax
CanESM2,rcp26,2030,40,Tmax 26–29°C,tmax
CanESM2,rcp26,2031,36,Tmax 26–29°C,tmax
CanESM2,rcp26,2032,40,Tmax 26–29°C,tmax
CanESM2,rcp26,2033,40,Tmax 26–29°C,tmax
CanESM2,rcp26,2034,36,Tmax 26–29°C,tmax
CanESM2,rcp26,2035,45,Tmax 26–29°C,tmax
CanESM2,rcp26,2036,38,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2006,45,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2007,53,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2008,51,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2009,55,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2010,45,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2011,47,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2012,42,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2013,39,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2014,47,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2015,54,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2016,50,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2017,51,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2018,72,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2019,48,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2020,62,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2021,59,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2022,56,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2023,46,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2024,57,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2025,59,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2026,56,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2027,77,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2028,60,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2029,46,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2030,50,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2031,68,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2032,49,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2033,54,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2034,43,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2035,65,Tmax 26–29°C,tmax
FGOALS-g2,rcp26,2036,45,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2006,37,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2007,72,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2008,62,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2009,50,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2010,42,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2011,68,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2012,30,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2013,39,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2014,63,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2015,59,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2016,32,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2017,41,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2018,47,Tmax 26–29°C,tmax
GFDL-CM3,rcp26,2019,50,Tmax 26–29°C,tmax
