model,scenario,year,n_days,n_valid
CESM1-CAM5,rcp26,2020,365,365
CESM1-CAM5,rcp26,2021,365,365
CESM1-CAM5,rcp26,2022,365,365
CESM1-CAM5,rcp26,2023,365,365
CESM1-CAM5,rcp26,2024,365,365
CESM1-CAM5,rcp26,2025,365,365
CESM1-CAM5,rcp26,2026,365,365
CESM1-CAM5,rcp26,2027,365,365
CESM1-CAM5,rcp26,2028,365,365
CESM1-CAM5,rcp26,2029,365,365
CESM1-CAM5,rcp26,2030,365,365
CESM1-CAM5,rcp26,2031,365,365
CESM1-CAM5,rcp26,2032,365,365
CESM1-CAM5,rcp26,2033,365,365
CESM1-CAM5,rcp26,2034,365,365
CESM1-CAM5,rcp26,2035,365,365
CESM1-CAM5,rcp26,2036,365,365
CESM1-CAM5,rcp45,2006,365,365
CESM1-CAM5,rcp45,2007,365,365
CESM1-CAM5,rcp45,2008,365,365
CESM1-CAM5,rcp45,2009,365,365
CESM1-CAM5,rcp45,2010,365,365
CESM1-CAM5,rcp45,2011,365,365
CESM1-CAM5,rcp45,2012,365,365
CESM1-CAM5,rcp45,2013,365,365
CESM1-CAM5,rcp45,2014,365,365
CESM1-CAM5,rcp45,2015,365,365
CESM1-CAM5,rcp45,2016,365,365
CESM1-CAM5,rcp45,2017,365,365
CESM1-CAM5,rcp45,2018,365,365
CESM1-CAM5,rcp45,2019,365,365
CESM1-CAM5,rcp45,2020,365,365
CESM1-CAM5,rcp45,2021,365,365
CESM1-CAM5,rcp45,2022,365,365
CESM1-CAM5,rcp45,2023,365,365
CESM1-CAM5,rcp45,2024,365,365
CESM1-CAM5,rcp45,2025,365,365
CESM1-CAM5,rcp45,2026,365,365
CESM1-CAM5,rcp45,2027,365,365
CESM1-CAM5,rcp45,2028,365,365
CESM1-CAM5,rcp45,2029,365,365
CESM1-CAM5,rcp45,2030,365,365
CESM1-CAM5,rcp45,2031,365,365
CESM1-CAM5,rcp45,2032,365,365
CESM1-CAM5,rcp45,2033,365,365
CESM1-CAM5,rcp45,2034,365,365
CESM1-CAM5,rcp45,2035,365,365
CESM1-CAM5,rcp45,2036,365,365
CESM1-CAM5,rcp60,2006,365,365
CESM1-CAM5,rcp60,2007,365,365
CESM1-CAM5,rcp60,2008,365,365
CESM1-CAM5,rcp60,2009,365,365
