model,scenario,year,gen_count
CSIRO-Mk3-6-0,rcp26,2021,7.325649846153845
CSIRO-Mk3-6-0,rcp26,2022,7.740208153846154
CSIRO-Mk3-6-0,rcp26,2023,8.504088153846153
CSIRO-Mk3-6-0,rcp26,2024,8.364690769230767
CSIRO-Mk3-6-0,rcp26,2025,7.79596769230769
CSIRO-Mk3-6-0,rcp26,2026,7.0020056923076925
CSIRO-Mk3-6-0,rcp26,2027,7.705874153846153
CSIRO-Mk3-6-0,rcp26,2028,8.616734153846153
CSIRO-Mk3-6-0,rcp26,2029,8.011793538461538
CSIRO-Mk3-6-0,rcp26,2030,7.389185846153846
CSIRO-Mk3-6-0,rcp26,2031,8.111223230769232
CSIRO-Mk3-6-0,rcp26,2032,8.030823692307692
CSIRO-Mk3-6-0,rcp26,2033,8.56739153846154
CSIRO-Mk3-6-0,rcp26,2034,8.324983384615384
CSIRO-Mk3-6-0,rcp26,2035,8.139234615384616
CSIRO-Mk3-6-0,rcp26,2036,7.488907692307692
FGOALS-g2,rcp26,2006,7.073633846153845
FGOALS-g2,rcp26,2007,7.1979890769230765
FGOALS-g2,rcp26,2008,7.2424159999999995
FGOALS-g2,rcp26,2009,7.035462615384615
FGOALS-g2,rcp26,2010,7.340281692307693
FGOALS-g2,rcp26,2011,6.637746000000001
FGOALS-g2,rcp26,2012,7.378107384615385
FGOALS-g2,rcp26,2013,7.37859246153846
FGOALS-g2,rcp26,2014,7.684039692307692
FGOALS-g2,rcp26,2015,7.55935246153846
FGOALS-g2,rcp26,2016,7.039003538461538
FGOALS-g2,rcp26,2017,7.056239076923076
FGOALS-g2,rcp26,2018,7.216478923076922
FGOALS-g2,rcp26,2019,7.534546923076923
FGOALS-g2,rcp26,2020,7.05357123076923
FGOALS-g2,rcp26,2021,7.2369650769230764
FGOALS-g2,rcp26,2022,7.08258723076923
FGOALS-g2,rcp26,2023,7.692292307692307
FGOALS-g2,rcp26,2024,7.470655538461538
FGOALS-g2,rcp26,2025,7.536981076923075
FGOALS-g2,rcp26,2026,7.267032615384616
FGOALS-g2,rcp26,2027,7.67946723076923
FGOALS-g2,rcp26,2028,7.350772153846153
FGOALS-g2,rcp26,2029,7.0691915384615385
FGOALS-g2,rcp26,2030,7.815528615384614
FGOALS-g2,rcp26,2031,7.894701538461539
FGOALS-g2,rcp26,2032,7.450567538461538
FGOALS-g2,rcp26,2033,7.045560307692307
FGOALS-g2,rcp26,2034,7.595468307692307
FGOALS-g2,rcp26,2035,7.584928615384615
