organism,scenario,bio_year,season_group,ensemble_dd_share,ensemble_seasonal_dd,n_models
Aedes aegypti,rcp60,2018,May-Oct,66.17735720128172,3231.3017378586014,15
Aedes aegypti,rcp60,2018,Nov-Apr,33.82264279871828,1659.7999859129754,15
Aedes aegypti,rcp60,2019,May-Oct,67.02290861814124,3231.19186142949,15
Aedes aegypti,rcp60,2019,Nov-Apr,32.97709138185875,1594.562298596825,15
Aedes aegypti,rcp60,2020,May-Oct,65.63243147498227,3234.2623972806164,15
Aedes aegypti,rcp60,2020,Nov-Apr,34.36756852501774,1697.7232102309029,15
Aedes aegypti,rcp60,2021,May-Oct,65.72944617976937,3262.38897832949,15
Aedes aegypti,rcp60,2021,Nov-Apr,34.27055382023063,1706.128934302116,15
Aedes aegypti,rcp60,2022,May-Oct,64.95799933188094,3263.1887740919115,15
Aedes aegypti,rcp60,2022,Nov-Apr,35.04200066811906,1768.2952666448505,15
Aedes aegypti,rcp60,2023,May-Oct,65.4030860984107,3324.1650177293127,15
Aedes aegypti,rcp60,2023,Nov-Apr,34.59691390158931,1766.2305637470017,15
Aedes aegypti,rcp60,2024,May-Oct,65.33020497291518,3292.319723654584,15
Aedes aegypti,rcp60,2024,Nov-Apr,34.66979502708482,1755.7126338957191,15
Aedes aegypti,rcp60,2025,May-Oct,66.2825703804412,3282.612181840534,15
Aedes aegypti,rcp60,2025,Nov-Apr,33.71742961955881,1674.3787021908136,15
Aedes aegypti,rcp60,2026,May-Oct,64.89009463381235,3278.4755556841337,15
Aedes aegypti,rcp60,2026,Nov-Apr,35.10990536618764,1777.4798685880412,15
Aedes aegypti,rcp60,2027,May-Oct,65.34283211531702,3314.94829490211,15
Aedes aegypti,rcp60,2027,Nov-Apr,34.65716788468298,1764.7176967450573,15
Aedes aegypti,rcp60,2028,May-Oct,66.40294087118706,3357.202208579506,15
Aedes aegypti,rcp60,2028,Nov-Apr,33.597059128812944,1703.095944437568,15
Aedes aegypti,rcp60,2029,May-Oct,65.9323748378665,3266.355334718418,15
Aedes aegypti,rcp60,2029,Nov-Apr,34.067625162133496,1691.7815467693626,15
Aedes aegypti,rcp60,2030,May-Oct,65.35892183922591,3285.7035980604314,15
Aedes aegypti,rcp60,2030,Nov-Apr,34.641078160774086,1744.3168995964043,15
Aedes aegypti,rcp60,2031,May-Oct,65.81380571159575,3272.530467871273,15
Aedes aegypti,rcp60,2031,Nov-Apr,34.18619428840426,1704.4210555559978,15
