organism,scenario,model,bio_year,season_group,base_temp,dd_per_generation,seasonal_dd,seasonal_generation_equivalent,annual_bioyear_dd,dd_share
Cockroach,rcp85,GFDL-CM3,2030,Nov-Apr,15.9,650,491.31790244256786,0.755873696065489,2685.1639926791368,18.29750077768445
Cockroach,rcp85,GFDL-CM3,2031,May-Oct,15.9,650,2089.0989825605866,3.2139984347085946,2811.688163600688,74.30052199975322
Cockroach,rcp85,GFDL-CM3,2031,Nov-Apr,15.9,650,722.5891810401014,1.1116756631386175,2811.688163600688,25.699478000246778
Cockroach,rcp85,GFDL-CM3,2032,May-Oct,15.9,650,2223.9611285424135,3.421478659296021,3137.8017753194486,70.8764060889729
Cockroach,rcp85,GFDL-CM3,2032,Nov-Apr,15.9,650,913.8406467770351,1.4059086873492848,3137.8017753194486,29.123593911027097
Cockroach,rcp85,GFDL-CM3,2033,May-Oct,15.9,650,2255.9228715581116,3.470650571627864,2922.4612938464174,77.19256629020956
Cockroach,rcp85,GFDL-CM3,2033,Nov-Apr,15.9,650,666.5384222883057,1.0254437265973935,2922.4612938464174,22.80743370979044
Cockroach,rcp85,GFDL-CM3,2034,May-Oct,15.9,650,2104.585813233339,3.2378243280512913,2679.853347833626,78.53361882412973
Cockroach,rcp85,GFDL-CM3,2034,Nov-Apr,15.9,650,575.2675346002864,0.8850269763081329,2679.853347833626,21.466381175870257
Cockroach,rcp85,GFDL-CM3,2035,May-Oct,15.9,650,2060.482670215424,3.16997333879296,2896.9706114223745,71.12542536990924
Cockroach,rcp85,GFDL-CM3,2035,Nov-Apr,15.9,650,836.4879412069502,1.2869045249337694,2896.9706114223745,28.87457463009076
Cockroach,rcp85,GFDL-ESM2G,2006,May-Oct,15.9,650,2367.9093400245974,3.6429374461916884,3001.797314497813,78.88305211641972
Cockroach,rcp85,GFDL-ESM2G,2006,Nov-Apr,15.9,650,633.8879744732159,0.9752122684203322,3001.797314497813,21.116947883580288
Cockroach,rcp85,GFDL-ESM2G,2007,May-Oct,15.9,650,2116.6560057361235,3.2563938549786515,2698.241078678182,78.44577056002105
Cockroach,rcp85,GFDL-ESM2G,2007,Nov-Apr,15.9,650,581.5850729420588,0.8947462660647059,2698.241078678182,21.55422943997897
Cockroach,rcp85,GFDL-ESM2G,2008,May-Oct,15.9,650,2258.343804862546,3.4743750844039174,2896.7907937969303,77.96019683915289
Cockroach,rcp85,GFDL-ESM2G,2008,Nov-Apr,15.9,650,638.4469889343843,0.9822261368221297,2896.7907937969303,22.039803160847125
Cockroach,rcp85,GFDL-ESM2G,2009,May-Oct,15.9,650,2413.9958570517683,3.7138397800796437,2971.906684573246,81.22717545549074
Cockroach,rcp85,GFDL-ESM2G,2009,Nov-Apr,15.9,650,557.9108275214776,0.8583243500330424,2971.906684573246,18.772824544509255
Cockroach,rcp85,GFDL-ESM2G,2010,May-Oct,15.9,650,2254.6644411418006,3.468714524833539,2932.9890113536385,76.87258398902844
Cockroach,rcp85,GFDL-ESM2G,2010,Nov-Apr,15.9,650,678.3245702118379,1.043576261864366,2932.9890113536385,23.12741601097156
Cockroach,rcp85,GFDL-ESM2G,2011,May-Oct,15.9,650,2134.6452917131674,3.284069679558719,2551.2469574541815,83.67066486747603
Cockroach,rcp85,GFDL-ESM2G,2011,Nov-Apr,15.9,650,416.601665741014,0.64092563960156,2551.2469574541815,16.32933513252395
Cockroach,rcp85,GFDL-ESM2G,2012,May-Oct,15.9,650,2023.1818647428634,3.1125874842197896,2513.4820033927717,80.49319080112423
Cockroach,rcp85,GFDL-ESM2G,2012,Nov-Apr,15.9,650,490.30013864990826,0.7543079056152435,2513.4820033927717,19.506809198875775
Cockroach,rcp85,GFDL-ESM2G,2013,May-Oct,15.9,650,1966.7186140809927,3.0257209447399886,2570.378029373814,76.51476131548313
Cockroach,rcp85,GFDL-ESM2G,2013,Nov-Apr,15.9,650,603.6594152928216,0.928706792758187,2570.378029373814,23.485238684516876
Cockroach,rcp85,GFDL-ESM2G,2014,May-Oct,15.9,650,2287.96002567468,3.519938501037969,2886.153065036508,79.27368972184912
Cockroach,rcp85,GFDL-ESM2G,2014,Nov-Apr,15.9,650,598.1930393618283,0.9202969836335819,2886.153065036508,20.726310278150876
Cockroach,rcp85,GFDL-ESM2G,2015,May-Oct,15.9,650,2086.531043766932,3.2100477596414336,2676.4113249519223,77.96002895049823
Cockroach,rcp85,GFDL-ESM2G,2015,Nov-Apr,15.9,650,589.8802811849905,0.9075081248999854,2676.4113249519223,22.039971049501773
Cockroach,rcp85,GFDL-ESM2G,2016,May-Oct,15.9,650,2331.0719102028347,3.5862644772351304,2931.741899644065,79.51149828318256
Cockroach,rcp85,GFDL-ESM2G,2016,Nov-Apr,15.9,650,600.6699894412304,0.9241076760634315,2931.741899644065,20.488501716817435
Cockroach,rcp85,GFDL-ESM2G,2017,May-Oct,15.9,650,2140.0472493861375,3.292380383670981,2679.6545116156763,79.86280470521602
Cockroach,rcp85,GFDL-ESM2G,2017,Nov-Apr,15.9,650,539.6072622295387,0.830165018814675,2679.6545116156763,20.137195294783986
Cockroach,rcp85,GFDL-ESM2G,2018,May-Oct,15.9,650,2092.555555253944,3.2193162388522216,2674.2706476827593,78.24771053248226
Cockroach,rcp85,GFDL-ESM2G,2018,Nov-Apr,15.9,650,581.7150924288154,0.8949462960443314,2674.2706476827593,21.752289467517745
Cockroach,rcp85,GFDL-ESM2G,2019,May-Oct,15.9,650,2120.2735280527836,3.2619592739273595,2640.9092274830577,80.28574045589326
Cockroach,rcp85,GFDL-ESM2G,2019,Nov-Apr,15.9,650,520.6356994302743,0.8009779991234989,2640.9092274830577,19.71425954410674
Cockroach,rcp85,GFDL-ESM2G,2020,May-Oct,15.9,650,2052.184896235478,3.157207532669966,2625.085214614232,78.17593443483912
Cockroach,rcp85,GFDL-ESM2G,2020,Nov-Apr,15.9,650,572.9003183787542,0.8813851051980833,2625.085214614232,21.82406556516088
Cockroach,rcp85,GFDL-ESM2G,2021,May-Oct,15.9,650,2116.03591899987,3.255439875384415,2622.0633850951326,80.70117339757203
Cockroach,rcp85,GFDL-ESM2G,2021,Nov-Apr,15.9,650,506.0274660952626,0.7785037939927116,2622.0633850951326,19.29882660242796
Cockroach,rcp85,GFDL-ESM2G,2022,May-Oct,15.9,650,1897.8182693531373,2.919720414389442,2420.9485874093302,78.39151476504516
Cockroach,rcp85,GFDL-ESM2G,2022,Nov-Apr,15.9,650,523.1303180561928,0.8048158739326042,2420.9485874093302,21.608485234954834
Cockroach,rcp85,GFDL-ESM2G,2023,May-Oct,15.9,650,2100.7813612348864,3.2319713249767483,2828.3408429236024,74.27610312565258
Cockroach,rcp85,GFDL-ESM2G,2023,Nov-Apr,15.9,650,727.5594816887159,1.1193222795211013,2828.3408429236024,25.723896874347414
Cockroach,rcp85,GFDL-ESM2G,2024,May-Oct,15.9,650,2165.681189777878,3.3318172150428893,2809.9319288166903,77.0723720232569
Cockroach,rcp85,GFDL-ESM2G,2024,Nov-Apr,15.9,650,644.2507390388123,0.9911549831366343,2809.9319288166903,22.927627976743093
Cockroach,rcp85,GFDL-ESM2G,2025,May-Oct,15.9,650,2382.978534766309,3.666120822717399,2807.3378752730905,84.88392351186083
Cockroach,rcp85,GFDL-ESM2G,2025,Nov-Apr,15.9,650,424.35934050678145,0.6528605238565869,2807.3378752730905,15.116076488139175
Cockroach,rcp85,GFDL-ESM2G,2026,May-Oct,15.9,650,2219.545792349647,3.414685834384072,2829.284047829312,78.44902649673972
Cockroach,rcp85,GFDL-ESM2G,2026,Nov-Apr,15.9,650,609.7382554796648,0.9380588545840997,2829.284047829312,21.550973503260273
Cockroach,rcp85,GFDL-ESM2G,2027,May-Oct,15.9,650,2071.692875705385,3.187219808777516,2832.217775934774,73.1473721162428
Cockroach,rcp85,GFDL-ESM2G,2027,Nov-Apr,15.9,650,760.5249002293888,1.1700383080452135,2832.217775934774,26.852627883757187
Cockroach,rcp85,GFDL-ESM2G,2028,May-Oct,15.9,650,2176.5290285861124,3.3485061978247885,2779.445772421528,78.3080227785794
Cockroach,rcp85,GFDL-ESM2G,2028,Nov-Apr,15.9,650,602.9167438354158,0.9275642212852551,2779.445772421528,21.691977221420604
Cockroach,rcp85,GFDL-ESM2G,2029,May-Oct,15.9,650,2267.447487184018,3.488380749513874,2697.487307567375,84.05776297160146
Cockroach,rcp85,GFDL-ESM2G,2029,Nov-Apr,15.9,650,430.03982038335715,0.6615997236667033,2697.487307567375,15.942237028398552
Cockroach,rcp85,GFDL-ESM2G,2030,May-Oct,15.9,650,1982.8079750918266,3.0504738078335794,2477.3580590260945,80.03719800888666
Cockroach,rcp85,GFDL-ESM2G,2030,Nov-Apr,15.9,650,494.55008393426766,0.7608462829757964,2477.3580590260945,19.962801991113327
Cockroach,rcp85,GFDL-ESM2G,2031,May-Oct,15.9,650,2163.5334533663286,3.328513005178967,2800.139318166029,77.2652074605827
Cockroach,rcp85,GFDL-ESM2G,2031,Nov-Apr,15.9,650,636.6058647997005,0.9793936381533854,2800.139318166029,22.73479253941729
Cockroach,rcp85,GFDL-ESM2G,2032,May-Oct,15.9,650,1979.7064387348903,3.0457022134382927,2407.8929796818115,82.21737657943986
Cockroach,rcp85,GFDL-ESM2G,2032,Nov-Apr,15.9,650,428.1865409469214,0.6587485245337252,2407.8929796818115,17.78262342056015
Cockroach,rcp85,GFDL-ESM2G,2033,May-Oct,15.9,650,2076.430290862389,3.1945081397882906,2682.8618804693215,77.39609355138151
Cockroach,rcp85,GFDL-ESM2G,2033,Nov-Apr,15.9,650,606.4315896069322,0.9329716763183573,2682.8618804693215,22.60390644861849
Cockroach,rcp85,GFDL-ESM2G,2034,May-Oct,15.9,650,2304.00263899557,3.5446194446085695,2917.398412782167,78.97456270973858
Cockroach,rcp85,GFDL-ESM2G,2034,Nov-Apr,15.9,650,613.3957737865966,0.9436858058255332,2917.398412782167,21.025437290261422
Cockroach,rcp85,GFDL-ESM2G,2035,May-Oct,15.9,650,2256.512890705933,3.471558293393743,2851.2766425786695,79.14044035604915
Cockroach,rcp85,GFDL-ESM2G,2035,Nov-Apr,15.9,650,594.7637518727366,0.9150211567272871,2851.2766425786695,20.859559643950842
Cockroach,rcp85,GFDL-ESM2M,2006,May-Oct,15.9,650,1853.8602650801024,2.8520927155078497,2673.6271881839784,69.3387721845883
Cockroach,rcp85,GFDL-ESM2M,2006,Nov-Apr,15.9,650,819.7669231038758,1.2611798816982704,2673.6271881839784,30.661227815411703
Cockroach,rcp85,GFDL-ESM2M,2007,May-Oct,15.9,650,2117.8397133956055,3.2582149436855468,2823.8522067805084,74.99824914031772
Cockroach,rcp85,GFDL-ESM2M,2007,Nov-Apr,15.9,650,706.012493384903,1.0861730667460046,2823.8522067805084,25.001750859682286
Cockroach,rcp85,GFDL-ESM2M,2008,May-Oct,15.9,650,2061.2057602375253,3.171085784980808,2634.7033723662125,78.23293437341934
Cockroach,rcp85,GFDL-ESM2M,2008,Nov-Apr,15.9,650,573.4976121286871,0.8823040186595187,2634.7033723662125,21.767065626580653
Cockroach,rcp85,GFDL-ESM2M,2009,May-Oct,15.9,650,1903.8158833946313,2.9289475129148173,2584.287568889972,73.66888678771831
Cockroach,rcp85,GFDL-ESM2M,2009,Nov-Apr,15.9,650,680.4716854953407,1.046879516146678,2584.287568889972,26.331113212281686
Cockroach,rcp85,GFDL-ESM2M,2010,May-Oct,15.9,650,1863.6905862147926,2.8672162864842963,2515.625909656122,74.08456794235964
Cockroach,rcp85,GFDL-ESM2M,2010,Nov-Apr,15.9,650,651.9353234413294,1.0029774206789683,2515.625909656122,25.915432057640352
Cockroach,rcp85,GFDL-ESM2M,2011,May-Oct,15.9,650,2085.847123890775,3.208995575216577,2702.137889665435,77.19247533104368
Cockroach,rcp85,GFDL-ESM2M,2011,Nov-Apr,15.9,650,616.29076577466,0.9481396396533232,2702.137889665435,22.80752466895633
Cockroach,rcp85,GFDL-ESM2M,2012,May-Oct,15.9,650,1891.819239475201,2.910491137654155,2588.7111423554106,73.07958035649649
Cockroach,rcp85,GFDL-ESM2M,2012,Nov-Apr,15.9,650,696.89190288021,1.0721413890464768,2588.7111423554106,26.920419643503507
Cockroach,rcp85,GFDL-ESM2M,2013,May-Oct,15.9,650,1905.524845771197,2.9315766858018417,2601.788347792105,73.23904142272903
Cockroach,rcp85,GFDL-ESM2M,2013,Nov-Apr,15.9,650,696.2635020209078,1.0711746184937043,2601.788347792105,26.760958577270966
Cockroach,rcp85,GFDL-ESM2M,2014,May-Oct,15.9,650,2072.345194577283,3.1882233762727434,2756.506319512341,75.18013580842818
Cockroach,rcp85,GFDL-ESM2M,2014,Nov-Apr,15.9,650,684.1611249350583,1.0525555768231667,2756.506319512341,24.819864191571835
Cockroach,rcp85,GFDL-ESM2M,2015,May-Oct,15.9,650,2218.27751193443,3.412734633745277,2965.419591865133,74.80484441458823
Cockroach,rcp85,GFDL-ESM2M,2015,Nov-Apr,15.9,650,747.1420799307032,1.1494493537395434,2965.419591865133,25.195155585411776
Cockroach,rcp85,GFDL-ESM2M,2016,May-Oct,15.9,650,1956.3711135884155,3.009801713212947,2661.4192847103086,73.50856457784191
Cockroach,rcp85,GFDL-ESM2M,2016,Nov-Apr,15.9,650,705.0481711218932,1.084689494033682,2661.4192847103086,26.491435422158094
Cockroach,rcp85,GFDL-ESM2M,2017,May-Oct,15.9,650,2096.848268634252,3.2259204132834642,2900.102078145783,72.30256770737182
Cockroach,rcp85,GFDL-ESM2M,2017,Nov-Apr,15.9,650,803.2538095115311,1.2357750915562018,2900.102078145783,27.697432292628182
Cockroach,rcp85,GFDL-ESM2M,2018,May-Oct,15.9,650,2279.4770111520033,3.5068877094646207,2884.1586194238625,79.03438444059468
Cockroach,rcp85,GFDL-ESM2M,2018,Nov-Apr,15.9,650,604.6816082718591,0.9302793973413217,2884.1586194238625,20.96561555940532
Cockroach,rcp85,GFDL-ESM2M,2019,May-Oct,15.9,650,1923.918920820907,2.9598752628013956,2412.3307889780745,79.75352839715356
Cockroach,rcp85,GFDL-ESM2M,2019,Nov-Apr,15.9,650,488.4118681571672,0.7514028740879495,2412.3307889780745,20.246471602846437
Cockroach,rcp85,GFDL-ESM2M,2020,May-Oct,15.9,650,2082.6653176105337,3.2041004886315902,2772.100461666892,75.12950365291617
Cockroach,rcp85,GFDL-ESM2M,2020,Nov-Apr,15.9,650,689.4351440563584,1.0606694523943974,2772.100461666892,24.87049634708383
