year,generation_count,valid_days,annual_dd,model,ssp,lon,lat,period
2017,4.0,365,3020.7731000000003,ACCESS-CM2,ssp585,121.53,25.02,future
2018,4.0,365,3247.8046,ACCESS-CM2,ssp585,121.53,25.02,future
2019,4.0,365,2932.2376999999997,ACCESS-CM2,ssp585,121.53,25.02,future
2020,4.0,365,3168.5110999999997,ACCESS-CM2,ssp585,121.53,25.02,future
2021,5.0,365,3320.0661,ACCESS-CM2,ssp585,121.53,25.02,future
2022,4.0,365,2783.8557,ACCESS-CM2,ssp585,121.53,25.02,future
2023,4.0,365,2729.2609,ACCESS-CM2,ssp585,121.53,25.02,future
2024,4.0,365,3003.1516,ACCESS-CM2,ssp585,121.53,25.02,future
2025,5.0,365,3349.3792999999996,ACCESS-CM2,ssp585,121.53,25.02,future
2026,4.0,365,2828.3125999999997,ACCESS-CM2,ssp585,121.53,25.02,future
2027,5.0,365,3560.4858999999997,ACCESS-CM2,ssp585,121.53,25.02,future
2028,4.0,365,3092.3821,ACCESS-CM2,ssp585,121.53,25.02,future
2029,4.0,365,3242.0657999999994,ACCESS-CM2,ssp585,121.53,25.02,future
2030,4.0,365,3185.2855,ACCESS-CM2,ssp585,121.53,25.02,future
2031,5.0,365,3617.7252,ACCESS-CM2,ssp585,121.53,25.02,future
2032,4.0,365,3031.2544999999996,ACCESS-CM2,ssp585,121.53,25.02,future
2033,5.0,365,3406.9452,ACCESS-CM2,ssp585,121.53,25.02,future
2034,4.0,365,3223.7861999999996,ACCESS-CM2,ssp585,121.53,25.02,future
2004,4.0,365,2886.9013999999997,EC-Earth3,ssp245,121.53,25.02,historical
2005,4.0,365,2959.9669,EC-Earth3,ssp245,121.53,25.02,historical
2006,4.0,365,3045.0543000000002,EC-Earth3,ssp245,121.53,25.02,historical
2007,4.0,365,2908.0914999999995,EC-Earth3,ssp245,121.53,25.02,historical
2008,4.0,365,3042.1308,EC-Earth3,ssp245,121.53,25.02,historical
2009,4.0,365,2907.3549,EC-Earth3,ssp245,121.53,25.02,historical
2010,4.0,365,2843.3251999999998,EC-Earth3,ssp245,121.53,25.02,historical
2011,4.0,365,2890.9232,EC-Earth3,ssp245,121.53,25.02,historical
2012,4.0,365,2948.8792999999996,EC-Earth3,ssp245,121.53,25.02,historical
2013,4.0,365,2742.0056000000004,EC-Earth3,ssp245,121.53,25.02,historical
2014,4.0,365,2897.6739,EC-Earth3,ssp245,121.53,25.02,historical
2015,4.0,365,2881.7859,EC-Earth3,ssp245,121.53,25.02,future
2016,4.0,365,3205.2374,EC-Earth3,ssp245,121.53,25.02,future
2017,4.0,365,2954.0851000000002,EC-Earth3,ssp245,121.53,25.02,future
2018,5.0,365,3279.0022,EC-Earth3,ssp245,121.53,25.02,future
2019,4.0,365,2630.0827,EC-Earth3,ssp245,121.53,25.02,future
2020,4.0,365,2701.2097999999996,EC-Earth3,ssp245,121.53,25.02,future
2021,4.0,365,2793.8135,EC-Earth3,ssp245,121.53,25.02,future
2022,4.0,365,3157.9323999999997,EC-Earth3,ssp245,121.53,25.02,future
2023,4.0,365,2868.708,EC-Earth3,ssp245,121.53,25.02,future
2024,4.0,365,2908.372,EC-Earth3,ssp245,121.53,25.02,future
2025,4.0,365,2748.5906999999997,EC-Earth3,ssp245,121.53,25.02,future
2026,4.0,365,2778.2387,EC-Earth3,ssp245,121.53,25.02,future
2027,4.0,365,3026.7052,EC-Earth3,ssp245,121.53,25.02,future
2028,4.0,365,2815.6016999999997,EC-Earth3,ssp245,121.53,25.02,future
2029,4.0,365,3174.9667,EC-Earth3,ssp245,121.53,25.02,future
2030,4.0,365,2917.7794000000004,EC-Earth3,ssp245,121.53,25.02,future
2031,4.0,365,3006.5968,EC-Earth3,ssp245,121.53,25.02,future
2032,4.0,365,2942.8023,EC-Earth3,ssp245,121.53,25.02,future
2033,4.0,365,2857.2293999999997,EC-Earth3,ssp245,121.53,25.02,future
2034,4.0,365,2739.8558,EC-Earth3,ssp245,121.53,25.02,future
2004,4.0,365,2886.9013999999997,EC-Earth3,ssp370,121.53,25.02,historical
2005,4.0,365,2959.9669,EC-Earth3,ssp370,121.53,25.02,historical
2006,4.0,365,3045.0543000000002,EC-Earth3,ssp370,121.53,25.02,historical
2007,4.0,365,2908.0914999999995,EC-Earth3,ssp370,121.53,25.02,historical
2008,4.0,365,3042.1308,EC-Earth3,ssp370,121.53,25.02,historical
2009,4.0,365,2907.3549,EC-Earth3,ssp370,121.53,25.02,historical
2010,4.0,365,2843.3251999999998,EC-Earth3,ssp370,121.53,25.02,historical
2011,4.0,365,2890.9232,EC-Earth3,ssp370,121.53,25.02,historical
2012,4.0,365,2948.8792999999996,EC-Earth3,ssp370,121.53,25.02,historical
2013,4.0,365,2742.0056000000004,EC-Earth3,ssp370,121.53,25.02,historical
2014,4.0,365,2897.6739,EC-Earth3,ssp370,121.53,25.02,historical
2015,4.0,365,2705.5153999999998,EC-Earth3,ssp370,121.53,25.02,future
2016,4.0,365,2957.026099999999,EC-Earth3,ssp370,121.53,25.02,future
2017,5.0,365,3387.6144,EC-Earth3,ssp370,121.53,25.02,future
2018,4.0,365,2863.6305999999995,EC-Earth3,ssp370,121.53,25.02,future
2019,4.0,365,2847.5222999999996,EC-Earth3,ssp370,121.53,25.02,future
2020,3.0,365,2595.4822999999997,EC-Earth3,ssp370,121.53,25.02,future
2021,4.0,365,2858.3169,EC-Earth3,ssp370,121.53,25.02,future
2022,4.0,365,2903.5602,EC-Earth3,ssp370,121.53,25.02,future
2023,5.0,365,3591.8848,EC-Earth3,ssp370,121.53,25.02,future
2024,4.0,365,3234.1851,EC-Earth3,ssp370,121.53,25.02,future
2025,4.0,365,3062.3428999999996,EC-Earth3,ssp370,121.53,25.02,future
2026,4.0,365,2760.6034999999997,EC-Earth3,ssp370,121.53,25.02,future
2027,4.0,365,3243.2999,EC-Earth3,ssp370,121.53,25.02,future
2028,4.0,365,3131.9629,EC-Earth3,ssp370,121.53,25.02,future
2029,4.0,365,2971.0285999999996,EC-Earth3,ssp370,121.53,25.02,future
2030,4.0,365,3023.8536,EC-Earth3,ssp370,121.53,25.02,future
